entidad,fna,gna,nam,fdc,sag,longitud,latitud
,,,,,,-64.88208383,-24.24538419
,,,,,,-64.88145007,-24.24056957
,,,,,,-64.96462434,-24.31301534
,,,,,,-64.96788943,-24.31082753
,,,,,,-64.96805492,-24.31251251
,,,,,,-64.87079537,-24.23284757
,,,,,,-64.88731886,-24.24931334
,,,,,,-64.87798703,-24.24182241
,,,,,,-64.86460999,-24.23142765
,,,,,,-64.86749736,-24.23932115
,,,,,,-64.86892665,-24.23538923
,,,,,,-64.86692039,-24.22865067
,,,,,,-64.87055546,-24.23171249
,,,,,,-64.85987237,-24.22227415
,,,,,,-64.80693975,-24.0707347
,,,,,,-64.93133348,-24.30809977
,,,,,,-64.88280154,-24.23609308
,,,,,,-64.89441938,-24.23990215
,,,,,,-65.25834005,-22.41532189
,,,,,,-65.09773124,-22.49832283
,,,,,,-65.1020717,-22.50988171
,,,,,,-65.11228966,-22.51649657
,,,,,,-65.33796115,-22.38875927
,,,,,,-65.33955177,-22.38629784
,,,,,,-65.36954498,-22.47767314
,,,,,,-65.38723976,-22.55060509
,,,,,,-65.12097927,-22.54504169
,,,,,,-65.1091606,-22.54754359
,,,,,,-65.17106054,-22.34119697
,,,,,,-65.04519946,-22.35745014
,,,,,,-65.17935136,-22.66115115
,,,,,,-65.21998941,-22.61076187
,,,,,,-65.22386013,-22.54626291
,,,,,,-64.31034857,-24.25721884
,,,,,,-64.10442593,-24.24774898
,,,,,,-64.33115288,-24.00509437
,,,,,,-64.40127298,-24.10281463
,,,,,,-64.41115899,-24.25636284
,,,,,,-64.41548459,-24.26095455
,,,,,,-64.99325681,-24.38483343
,,,,,,-64.9582394,-24.49916652
,,,,,,-64.92125567,-24.57559666
,,,,,,-64.93831145,-24.59977298
,,,,,,-64.9788452,-24.62002062
,,,,,,-64.70873576,-24.49958959
,,,,,,-64.80166989,-24.40329923
,,,,,,-64.83387559,-24.39871741
,,,,,,-64.96659029,-24.4814534
,,,,,,-64.98496073,-24.53353903
,,,,,,-64.9747671,-24.55732448
,,,,,,-64.9239321,-24.58479774
,,,,,,-64.92568672,-24.58535613
,,,,,,-64.66310908,-24.33570948
,,,,,,-65.13655337,-24.38026198
,,,,,,-65.14723257,-24.38602186
,,,,,,-65.14671789,-24.38846896
,,,,,,-65.15565403,-24.41788635
,,,,,,-65.10500674,-24.4672134
